,raw_hz,peak_id,line_width,integral,file_path,raw_Al_concentration,raw_Li_concentration,raw_Na_concentration,raw_AlNO3_concentration,degrees_celsius,Hz,Mat_Source,raw_mg,scan_count,nmr_element,ppm
19582,14726.0,1.0,4.294200590761555,27892756.0,0819G1-0p1M-AlOH3-3M-LiOH-D2O/27Al-1st-2744Hz-25C-64ct.ft,0.1,3.0,,,25,2744,,,64,27Al,-20.670588235294115
19753,15158.0,161.0,34.0,35274348.0,0808G1-0p5M-AlOH3-3M-NaOH-D2O/27Al-without-liquid-2845Hz-25C-14th-9888ctF.ft,0.5,,3.0,,25,2845,,,9888,27Al,-15.588235294117647
20296,14706.0,5.0,5.960642853213457,7054863360.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/27Al-concentrated-Gibbsite-2744Hz-110C-128ctF.ft,0.15,,3.0,,110,2744,Gibbsite,,128,27Al,-20.905882352941177
20594,14705.0,43.0,5.287875655433481,7021813248.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/27Al-concentrated-Gibbsite-2730Hz-140C-128ct.ft,0.15,,3.0,,140,2730,Gibbsite,,128,27Al,-20.917647058823526
23611,14709.0,2957.0,5.712633548699785,17049459712.0,0808G1-0p5M-AlOH3-3M-NaOH-D2O/27Al-3513Hz-25C-13th-2500ct.ft,0.5,,3.0,,25,3513,,,2500,27Al,-20.870588235294118
28522,14709.0,1526.0,5.586157685688136,20392986624.0,0808G1-0p5M-AlOH3-3M-NaOH-D2O/27Al-4010Hz-25C-12th-3024ctF.ft,0.5,,3.0,,25,4010,,,3024,27Al,-20.870588235294118
31951,16483.0,1.0,2.903129162634068,104523568.0,27Al-1M-AlNO3-reference-09-02-2016-3pm.ft,,,,1.0,,,,,,27Al,0.0
31964,14706.0,9.0,7.691798577677133,7137046016.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/27Al-concentrated-Gibbsite-2770Hz-70C-128ctF.ft,0.15,,3.0,,70,2770,Gibbsite,,128,27Al,-20.905882352941177
32111,14705.0,2.0,4.603310602721528,1919177472.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/27Al-5th-2671Hz-130C-600ctF.ft,0.15,,3.0,,130,2671,,,600,27Al,-20.917647058823526
32157,14706.0,9.0,7.691798577677133,7137046016.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/27Al-concentrated-Gibbsite-2770Hz-70C-128ct.ft,0.15,,3.0,,70,2770,Gibbsite,,128,27Al,-20.905882352941177
32282,14707.0,4.0,8.739629227535374,7358709760.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/27Al-concentrated-Gibbsite-2782Hz-50C-128ctF.ft,0.15,,3.0,,50,2782,Gibbsite,,128,27Al,-20.894117647058824
32479,14724.0,1.0,4.2964325052925325,87552176.0,0819G1-0p5M-AlOH3-3M-LiOH-D2O/27Al-1st-2730Hz-25C-128ctF.ft,0.5,3.0,,,25,2730,,,128,27Al,-20.694117647058825
33278,14710.0,732.0,5.883635688468871,27925385216.0,0808G1-0p5M-AlOH3-3M-NaOH-D2O/27Al-2745Hz-25C-11th-3700ctF.ft,0.5,,3.0,,25,2745,,,3700,27Al,-20.858823529411765
34585,14707.0,20.0,4.774629301337612,4693089280.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/27Al-5th-2720Hz-80C-600ctF.ft,0.15,,3.0,,80,2720,,,600,27Al,-20.894117647058824
35741,14703.0,1128.0,4.377359283776201,10975953920.0,0808G1-0p5M-AlOH3-3M-NaOH-D2O/27Al-2631Hz-132C-7th-3000ct.ft,0.5,,3.0,,132,2631,,,3000,27Al,-20.941176470588236
36765,14705.0,10.0,5.418637012513003,6909296640.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/27Al-concentrated-Gibbsite-2735Hz-130C-128ct.ft,0.15,,3.0,,130,2735,Gibbsite,,128,27Al,-20.917647058823526
